id,Actual Count,Result at conf = 0.0275,Difference,Percentage Error,,Result at conf = 0.1,Difference,Percentage Error,,Result at conf = 0.025,Difference,Percentage Error,,Result at conf = 0.0225,Difference,Percentage Error,
307,30,35,-5,0.1667,,18,12,0.4000,,36,-6,0.2000,,37,-7,0.2333,
308,31,27,4,0.1290,,21,10,0.3226,,27,4,0.1290,,28,3,0.0968,
309,32,25,7,0.2188,,19,13,0.4063,,26,6,0.1875,,29,3,0.0938,
310,32,25,7,0.2188,,20,12,0.3750,,26,6,0.1875,,27,5,0.1563,
311,33,30,3,0.0909,,19,14,0.4242,,30,3,0.0909,,32,1,0.0303,
312,34,29,5,0.1471,,21,13,0.3824,,31,3,0.0882,,33,1,0.0294,
313,30,34,-4,0.1333,,22,8,0.2667,,35,-5,0.1667,,35,-5,0.1667,
314,32,29,3,0.0938,,20,12,0.3750,,29,3,0.0938,,31,1,0.0313,
315,42,31,11,0.2619,,23,19,0.4524,,32,10,0.2381,,32,10,0.2381,
316,41,35,6,0.1463,,20,21,0.5122,,36,5,0.1220,,39,2,0.0488,
317,41,35,6,0.1463,,20,21,0.5122,,36,5,0.1220,,39,2,0.0488,
318,46,40,6,0.1304,,25,21,0.4565,,41,5,0.1087,,43,3,0.0652,
319,41,39,2,0.0488,,23,18,0.4390,,40,1,0.0244,,42,-1,0.0244,
320,45,37,8,0.1778,,23,22,0.4889,,37,8,0.1778,,37,8,0.1778,
321,45,34,11,0.2444,,25,20,0.4444,,34,11,0.2444,,35,10,0.2222,
322,41,30,11,0.2683,,24,17,0.4146,,30,11,0.2683,,34,7,0.1707,
323,36,35,1,0.0278,,24,12,0.3333,,37,-1,0.0278,,38,-2,0.0556,
324,34,29,5,0.1471,,19,15,0.4412,,30,4,0.1176,,31,3,0.0882,
325,28,29,-1,0.0357,,17,11,0.3929,,29,-1,0.0357,,30,-2,0.0714,
326,32,30,2,0.0625,,23,9,0.2813,,30,2,0.0625,,31,1,0.0313,
327,29,30,-1,0.0345,,22,7,0.2414,,30,-1,0.0345,,30,-1,0.0345,
328,31,27,4,0.1290,,20,11,0.3548,,30,1,0.0323,,31,0,0.0000,
329,31,34,-3,0.0968,,21,10,0.3226,,36,-5,0.1613,,38,-7,0.2258,
330,21,24,-3,0.1429,,14,7,0.3333,,25,-4,0.1905,,26,-5,0.2381,
331,21,24,-3,0.1429,,15,6,0.2857,,25,-4,0.1905,,26,-5,0.2381,
332,22,25,-3,0.1364,,16,6,0.2727,,26,-4,0.1818,,26,-4,0.1818,
333,32,34,-2,0.0625,,22,10,0.3125,,34,-2,0.0625,,35,-3,0.0938,
334,36,33,3,0.0833,,20,16,0.4444,,33,3,0.0833,,35,1,0.0278,
335,33,36,-3,0.0909,,23,10,0.3030,,36,-3,0.0909,,38,-5,0.1515,
336,27,30,-3,0.1111,,20,7,0.2593,,32,-5,0.1852,,35,-8,0.2963,
337,32,37,-5,0.1563,,20,12,0.3750,,37,-5,0.1563,,40,-8,0.2500,
338,26,35,-9,0.3462,,21,5,0.1923,,35,-9,0.3462,,36,-10,0.3846,
339,25,23,2,0.0800,,18,7,0.2800,,24,1,0.0400,,26,-1,0.0400,
340,27,26,1,0.0370,,18,9,0.3333,,27,0,0.0000,,27,0,0.0000,
341,34,25,9,0.2647,,21,13,0.3824,,25,9,0.2647,,27,7,0.2059,
342,30,27,3,0.1000,,20,10,0.3333,,28,2,0.0667,,30,0,0.0000,
343,36,28,8,0.2222,,22,14,0.3889,,29,7,0.1944,,31,5,0.1389,
344,33,26,7,0.2121,,21,12,0.3636,,26,7,0.2121,,29,4,0.1212,
345,36,25,11,0.3056,,16,20,0.5556,,25,11,0.3056,,28,8,0.2222,
346,33,28,5,0.1515,,19,14,0.4242,,28,5,0.1515,,29,4,0.1212,
347,33,28,5,0.1515,,20,13,0.3939,,29,4,0.1212,,33,0,0.0000,
348,41,30,11,0.2683,,20,21,0.5122,,31,10,0.2439,,31,10,0.2439,
349,34,29,5,0.1471,,16,18,0.5294,,30,4,0.1176,,31,3,0.0882,
350,35,26,9,0.2571,,19,16,0.4571,,28,7,0.2000,,34,1,0.0286,
351,32,33,-1,0.0313,,20,12,0.3750,,33,-1,0.0313,,35,-3,0.0938,
352,32,31,1,0.0313,,21,11,0.3438,,31,1,0.0313,,35,-3,0.0938,
353,32,33,-1,0.0313,,22,10,0.3125,,34,-2,0.0625,,36,-4,0.1250,
354,34,34,0,0.0000,,21,13,0.3824,,34,0,0.0000,,35,-1,0.0294,
355,32,28,4,0.1250,,18,14,0.4375,,31,1,0.0313,,33,-1,0.0313,
356,38,31,7,0.1842,,24,14,0.3684,,33,5,0.1316,,36,2,0.0526,
357,38,32,6,0.1579,,24,14,0.3684,,33,5,0.1316,,35,3,0.0789,
358,34,33,1,0.0294,,22,12,0.3529,,33,1,0.0294,,38,-4,0.1176,
359,37,34,3,0.0811,,24,13,0.3514,,35,2,0.0541,,38,-1,0.0270,
360,28,29,-1,0.0357,,23,5,0.1786,,30,-2,0.0714,,34,-6,0.2143,
361,31,27,4,0.1290,,17,14,0.4516,,27,4,0.1290,,27,4,0.1290,
362,29,30,-1,0.0345,,20,9,0.3103,,31,-2,0.0690,,35,-6,0.2069,
363,36,32,4,0.1111,,18,18,0.5000,,32,4,0.1111,,35,1,0.0278,
364,37,35,2,0.0541,,23,14,0.3784,,36,1,0.0270,,39,-2,0.0541,
365,41,33,8,0.1951,,23,18,0.4390,,33,8,0.1951,,34,7,0.1707,
366,40,33,7,0.1750,,21,19,0.4750,,33,7,0.1750,,34,6,0.1500,
367,41,30,11,0.2683,,20,21,0.5122,,33,8,0.1951,,36,5,0.1220,
368,36,33,3,0.0833,,20,16,0.4444,,34,2,0.0556,,34,2,0.0556,
369,36,28,8,0.2222,,20,16,0.4444,,29,7,0.1944,,33,3,0.0833,
370,35,29,6,0.1714,,21,14,0.4000,,31,4,0.1143,,33,2,0.0571,
371,33,28,5,0.1515,,18,15,0.4545,,31,2,0.0606,,32,1,0.0303,
372,36,27,9,0.2500,,18,18,0.5000,,28,8,0.2222,,31,5,0.1389,
373,37,26,11,0.2973,,22,15,0.4054,,26,11,0.2973,,29,8,0.2162,
374,30,27,3,0.1000,,18,12,0.4000,,27,3,0.1000,,29,1,0.0333,
375,30,24,6,0.2000,,19,11,0.3667,,25,5,0.1667,,26,4,0.1333,
376,32,26,6,0.1875,,18,14,0.4375,,26,6,0.1875,,28,4,0.1250,
377,29,26,3,0.1034,,16,13,0.4483,,26,3,0.1034,,32,-3,0.1034,
378,27,25,2,0.0741,,16,11,0.4074,,26,1,0.0370,,31,-4,0.1481,
379,33,29,4,0.1212,,20,13,0.3939,,30,3,0.0909,,33,0,0.0000,
380,29,27,2,0.0690,,16,13,0.4483,,29,0,0.0000,,30,-1,0.0345,
381,34,31,3,0.0882,,19,15,0.4412,,34,0,0.0000,,34,0,0.0000,
382,31,29,2,0.0645,,21,10,0.3226,,29,2,0.0645,,34,-3,0.0968,
383,30,34,-4,0.1333,,16,14,0.4667,,35,-5,0.1667,,37,-7,0.2333,
384,31,27,4,0.1290,,16,15,0.4839,,28,3,0.0968,,32,-1,0.0323,
385,33,29,4,0.1212,,21,12,0.3636,,29,4,0.1212,,31,2,0.0606,
386,33,26,7,0.2121,,20,13,0.3939,,27,6,0.1818,,32,1,0.0303,
387,29,24,5,0.1724,,20,9,0.3103,,25,4,0.1379,,28,1,0.0345,
388,32,27,5,0.1563,,22,10,0.3125,,28,4,0.1250,,30,2,0.0625,
389,36,29,7,0.1944,,20,16,0.4444,,30,6,0.1667,,33,3,0.0833,
390,39,31,8,0.2051,,20,19,0.4872,,31,8,0.2051,,33,6,0.1538,
391,36,30,6,0.1667,,17,19,0.5278,,31,5,0.1389,,33,3,0.0833,
392,32,25,7,0.2188,,20,12,0.3750,,25,7,0.2188,,29,3,0.0938,
393,29,29,0,0.0000,,23,6,0.2069,,29,0,0.0000,,32,-3,0.1034,
394,26,28,-2,0.0769,,18,8,0.3077,,29,-3,0.1154,,31,-5,0.1923,
395,28,30,-2,0.0714,,24,4,0.1429,,31,-3,0.1071,,33,-5,0.1786,
396,28,25,3,0.1071,,16,12,0.4286,,25,3,0.1071,,28,0,0.0000,
397,32,24,8,0.2500,,17,15,0.4688,,25,7,0.2188,,27,5,0.1563,
398,32,28,4,0.1250,,22,10,0.3125,,28,4,0.1250,,29,3,0.0938,
399,28,29,-1,0.0357,,18,10,0.3571,,30,-2,0.0714,,33,-5,0.1786,
400,28,28,0,0.0000,,16,12,0.4286,,28,0,0.0000,,32,-4,0.1429,
401,29,26,3,0.1034,,20,9,0.3103,,28,1,0.0345,,30,-1,0.0345,
402,30,27,3,0.1000,,19,11,0.3667,,28,2,0.0667,,30,0,0.0000,
403,31,36,-5,0.1613,,25,6,0.1935,,37,-6,0.1935,,38,-7,0.2258,
404,26,30,-4,0.1538,,18,8,0.3077,,31,-5,0.1923,,32,-6,0.2308,
405,26,27,-1,0.0385,,18,8,0.3077,,27,-1,0.0385,,30,-4,0.1538,
406,28,26,2,0.0714,,16,12,0.4286,,26,2,0.0714,,27,1,0.0357,
407,27,27,0,0.0000,,17,10,0.3704,,27,0,0.0000,,30,-3,0.1111,
408,29,28,1,0.0345,,18,11,0.3793,,28,1,0.0345,,30,-1,0.0345,
409,31,30,1,0.0323,,18,13,0.4194,,30,1,0.0323,,32,-1,0.0323,
410,37,33,4,0.1081,,22,15,0.4054,,33,4,0.1081,,33,4,0.1081,
411,37,39,-2,0.0541,,23,14,0.3784,,39,-2,0.0541,,39,-2,0.0541,
412,41,35,6,0.1463,,22,19,0.4634,,35,6,0.1463,,36,5,0.1220,
413,40,32,8,0.2000,,22,18,0.4500,,32,8,0.2000,,32,8,0.2000,
414,42,34,8,0.1905,,20,22,0.5238,,35,7,0.1667,,41,1,0.0238,
415,36,31,5,0.1389,,24,12,0.3333,,32,4,0.1111,,33,3,0.0833,
416,37,30,7,0.1892,,18,19,0.5135,,30,7,0.1892,,32,5,0.1351,
417,38,33,5,0.1316,,22,16,0.4211,,35,3,0.0789,,35,3,0.0789,
418,37,33,4,0.1081,,24,13,0.3514,,33,4,0.1081,,36,1,0.0270,
419,40,29,11,0.2750,,21,19,0.4750,,29,11,0.2750,,31,9,0.2250,
420,37,32,5,0.1351,,19,18,0.4865,,33,4,0.1081,,37,0,0.0000,
421,41,32,9,0.2195,,23,18,0.4390,,33,8,0.1951,,33,8,0.1951,
422,41,38,3,0.0732,,22,19,0.4634,,38,3,0.0732,,39,2,0.0488,
423,36,30,6,0.1667,,23,13,0.3611,,30,6,0.1667,,31,5,0.1389,
424,33,28,5,0.1515,,23,10,0.3030,,30,3,0.0909,,33,0,0.0000,
425,37,27,10,0.2703,,19,18,0.4865,,28,9,0.2432,,30,7,0.1892,
426,36,33,3,0.0833,,22,14,0.3889,,33,3,0.0833,,34,2,0.0556,
427,35,31,4,0.1143,,19,16,0.4571,,31,4,0.1143,,31,4,0.1143,
428,36,34,2,0.0556,,20,16,0.4444,,34,2,0.0556,,35,1,0.0278,
429,33,30,3,0.0909,,20,13,0.3939,,31,2,0.0606,,32,1,0.0303,
430,31,25,6,0.1935,,20,11,0.3548,,25,6,0.1935,,25,6,0.1935,
431,30,22,8,0.2667,,17,13,0.4333,,22,8,0.2667,,24,6,0.2000,
432,29,24,5,0.1724,,15,14,0.4828,,24,5,0.1724,,25,4,0.1379,
433,25,19,6,0.2400,,17,8,0.3200,,20,5,0.2000,,22,3,0.1200,
434,21,20,1,0.0476,,12,9,0.4286,,20,1,0.0476,,20,1,0.0476,
435,22,16,6,0.2727,,14,8,0.3636,,18,4,0.1818,,20,2,0.0909,
436,19,18,1,0.0526,,14,5,0.2632,,18,1,0.0526,,20,-1,0.0526,
437,17,19,-2,0.1176,,12,5,0.2941,,19,-2,0.1176,,19,-2,0.1176,
438,17,17,0,0.0000,,11,6,0.3529,,17,0,0.0000,,18,-1,0.0588,
439,18,15,3,0.1667,,12,6,0.3333,,15,3,0.1667,,16,2,0.1111,
440,17,17,0,0.0000,,11,6,0.3529,,17,0,0.0000,,22,-5,0.2941,
441,17,20,-3,0.1765,,12,5,0.2941,,21,-4,0.2353,,23,-6,0.3529,
442,16,18,-2,0.1250,,13,3,0.1875,,19,-3,0.1875,,20,-4,0.2500,
443,17,24,-7,0.4118,,15,2,0.1176,,26,-9,0.5294,,27,-10,0.5882,
444,16,24,-8,0.5000,,14,2,0.1250,,25,-9,0.5625,,26,-10,0.6250,
445,19,22,-3,0.1579,,14,5,0.2632,,23,-4,0.2105,,23,-4,0.2105,
446,22,24,-2,0.0909,,16,6,0.2727,,24,-2,0.0909,,24,-2,0.0909,
447,20,24,-4,0.2000,,13,7,0.3500,,24,-4,0.2000,,25,-5,0.2500,
448,21,25,-4,0.1905,,16,5,0.2381,,26,-5,0.2381,,29,-8,0.3810,
449,23,27,-4,0.1739,,16,7,0.3043,,27,-4,0.1739,,27,-4,0.1739,
450,18,27,-9,0.5000,,17,1,0.0556,,28,-10,0.5556,,30,-12,0.6667,
451,23,22,1,0.0435,,18,5,0.2174,,22,1,0.0435,,25,-2,0.0870,
452,22,23,-1,0.0455,,17,5,0.2273,,23,-1,0.0455,,25,-3,0.1364,
453,24,23,1,0.0417,,15,9,0.3750,,24,0,0.0000,,25,-1,0.0417,
454,24,23,1,0.0417,,16,8,0.3333,,23,1,0.0417,,29,-5,0.2083,
455,20,20,0,0.0000,,15,5,0.2500,,22,-2,0.1000,,23,-3,0.1500,
456,23,21,2,0.0870,,17,6,0.2609,,22,1,0.0435,,23,0,0.0000,
457,26,23,3,0.1154,,19,7,0.2692,,24,2,0.0769,,28,-2,0.0769,
458,26,25,1,0.0385,,19,7,0.2692,,25,1,0.0385,,27,-1,0.0385,
459,25,27,-2,0.0800,,23,2,0.0800,,27,-2,0.0800,,28,-3,0.1200,
460,23,24,-1,0.0435,,17,6,0.2609,,24,-1,0.0435,,25,-2,0.0870,
461,22,21,1,0.0455,,18,4,0.1818,,21,1,0.0455,,21,1,0.0455,
462,20,21,-1,0.0500,,17,3,0.1500,,22,-2,0.1000,,25,-5,0.2500,
463,16,20,-4,0.2500,,15,1,0.0625,,20,-4,0.2500,,20,-4,0.2500,
464,18,21,-3,0.1667,,15,3,0.1667,,21,-3,0.1667,,22,-4,0.2222,
465,17,25,-8,0.4706,,18,-1,0.0588,,26,-9,0.5294,,27,-10,0.5882,
466,17,22,-5,0.2941,,18,-1,0.0588,,22,-5,0.2941,,22,-5,0.2941,
467,16,29,-13,0.8125,,14,2,0.1250,,29,-13,0.8125,,30,-14,0.8750,
468,15,21,-6,0.4000,,15,0,0.0000,,21,-6,0.4000,,22,-7,0.4667,
469,17,20,-3,0.1765,,12,5,0.2941,,20,-3,0.1765,,23,-6,0.3529,
470,16,21,-5,0.3125,,15,1,0.0625,,21,-5,0.3125,,24,-8,0.5000,
471,16,22,-6,0.3750,,16,0,0.0000,,22,-6,0.3750,,23,-7,0.4375,
472,14,21,-7,0.5000,,12,2,0.1429,,22,-8,0.5714,,25,-11,0.7857,
473,13,19,-6,0.4615,,13,0,0.0000,,21,-8,0.6154,,24,-11,0.8462,
474,18,22,-4,0.2222,,18,0,0.0000,,23,-5,0.2778,,24,-6,0.3333,
475,18,20,-2,0.1111,,16,2,0.1111,,20,-2,0.1111,,26,-8,0.4444,
476,16,22,-6,0.3750,,13,3,0.1875,,22,-6,0.3750,,23,-7,0.4375,
477,18,18,0,0.0000,,12,6,0.3333,,20,-2,0.1111,,23,-5,0.2778,
478,20,25,-5,0.2500,,16,4,0.2000,,25,-5,0.2500,,30,-10,0.5000,
479,19,21,-2,0.1053,,15,4,0.2105,,22,-3,0.1579,,22,-3,0.1579,
480,24,28,-4,0.1667,,17,7,0.2917,,28,-4,0.1667,,29,-5,0.2083,
481,27,25,2,0.0741,,21,6,0.2222,,26,1,0.0370,,28,-1,0.0370,
482,31,32,-1,0.0323,,22,9,0.2903,,32,-1,0.0323,,35,-4,0.1290,
483,31,28,3,0.0968,,22,9,0.2903,,28,3,0.0968,,30,1,0.0323,
484,30,27,3,0.1000,,24,6,0.2000,,27,3,0.1000,,28,2,0.0667,
485,33,29,4,0.1212,,21,12,0.3636,,30,3,0.0909,,30,3,0.0909,
486,33,31,2,0.0606,,20,13,0.3939,,31,2,0.0606,,33,0,0.0000,
487,33,37,-4,0.1212,,26,7,0.2121,,38,-5,0.1515,,38,-5,0.1515,
488,31,28,3,0.0968,,22,9,0.2903,,29,2,0.0645,,31,0,0.0000,
489,25,25,0,0.0000,,17,8,0.3200,,26,-1,0.0400,,27,-2,0.0800,
490,23,27,-4,0.1739,,18,5,0.2174,,27,-4,0.1739,,28,-5,0.2174,
491,20,19,1,0.0500,,15,5,0.2500,,19,1,0.0500,,19,1,0.0500,
492,23,24,-1,0.0435,,17,6,0.2609,,25,-2,0.0870,,26,-3,0.1304,
493,23,20,3,0.1304,,17,6,0.2609,,22,1,0.0435,,23,0,0.0000,
494,22,21,1,0.0455,,17,5,0.2273,,22,0,0.0000,,23,-1,0.0455,
495,22,21,1,0.0455,,17,5,0.2273,,21,1,0.0455,,21,1,0.0455,
496,24,23,1,0.0417,,17,7,0.2917,,24,0,0.0000,,24,0,0.0000,
497,24,24,0,0.0000,,17,7,0.2917,,24,0,0.0000,,26,-2,0.0833,
498,26,25,1,0.0385,,21,5,0.1923,,25,1,0.0385,,26,0,0.0000,
499,27,31,-4,0.1481,,23,4,0.1481,,31,-4,0.1481,,31,-4,0.1481,
500,29,27,2,0.0690,,21,8,0.2759,,29,0,0.0000,,29,0,0.0000,
501,26,24,2,0.0769,,20,6,0.2308,,24,2,0.0769,,25,1,0.0385,
502,25,25,0,0.0000,,20,5,0.2000,,25,0,0.0000,,27,-2,0.0800,
503,24,30,-6,0.2500,,18,6,0.2500,,31,-7,0.2917,,32,-8,0.3333,
504,26,26,0,0.0000,,20,6,0.2308,,26,0,0.0000,,29,-3,0.1154,
505,31,29,2,0.0645,,18,13,0.4194,,32,-1,0.0323,,33,-2,0.0645,
506,32,26,6,0.1875,,21,11,0.3438,,26,6,0.1875,,28,4,0.1250,
507,28,24,4,0.1429,,19,9,0.3214,,25,3,0.1071,,26,2,0.0714,
508,29,26,3,0.1034,,21,8,0.2759,,27,2,0.0690,,27,2,0.0690,
509,29,25,4,0.1379,,19,10,0.3448,,25,4,0.1379,,26,3,0.1034,
510,30,27,3,0.1000,,20,10,0.3333,,27,3,0.1000,,30,0,0.0000,
511,29,26,3,0.1034,,19,10,0.3448,,27,2,0.0690,,28,1,0.0345,
512,27,25,2,0.0741,,18,9,0.3333,,25,2,0.0741,,26,1,0.0370,
513,29,31,-2,0.0690,,21,8,0.2759,,32,-3,0.1034,,33,-4,0.1379,
514,28,28,0,0.0000,,24,4,0.1429,,28,0,0.0000,,30,-2,0.0714,
515,25,25,0,0.0000,,21,4,0.1600,,25,0,0.0000,,27,-2,0.0800,
516,27,32,-5,0.1852,,22,5,0.1852,,34,-7,0.2593,,35,-8,0.2963,
517,27,28,-1,0.0370,,18,9,0.3333,,30,-3,0.1111,,31,-4,0.1481,
518,25,28,-3,0.1200,,18,7,0.2800,,30,-5,0.2000,,32,-7,0.2800,
519,22,28,-6,0.2727,,15,7,0.3182,,29,-7,0.3182,,30,-8,0.3636,
520,23,26,-3,0.1304,,17,6,0.2609,,26,-3,0.1304,,28,-5,0.2174,
521,26,25,1,0.0385,,18,8,0.3077,,25,1,0.0385,,26,0,0.0000,
522,25,25,0,0.0000,,18,7,0.2800,,27,-2,0.0800,,29,-4,0.1600,
523,22,23,-1,0.0455,,13,9,0.4091,,25,-3,0.1364,,28,-6,0.2727,
524,19,21,-2,0.1053,,12,7,0.3684,,22,-3,0.1579,,24,-5,0.2632,
525,24,21,3,0.1250,,15,9,0.3750,,21,3,0.1250,,26,-2,0.0833,
526,20,24,-4,0.2000,,13,7,0.3500,,25,-5,0.2500,,29,-9,0.4500,
527,20,28,-8,0.4000,,17,3,0.1500,,28,-8,0.4000,,30,-10,0.5000,
528,20,22,-2,0.1000,,12,8,0.4000,,23,-3,0.1500,,24,-4,0.2000,
529,24,22,2,0.0833,,15,9,0.3750,,22,2,0.0833,,23,1,0.0417,
530,24,21,3,0.1250,,15,9,0.3750,,21,3,0.1250,,21,3,0.1250,
531,23,25,-2,0.0870,,12,11,0.4783,,27,-4,0.1739,,32,-9,0.3913,
532,20,30,-10,0.5000,,14,6,0.3000,,31,-11,0.5500,,33,-13,0.6500,
533,20,19,1,0.0500,,12,8,0.4000,,19,1,0.0500,,20,0,0.0000,
534,23,19,4,0.1739,,14,9,0.3913,,21,2,0.0870,,25,-2,0.0870,
535,26,22,4,0.1538,,16,10,0.3846,,23,3,0.1154,,25,1,0.0385,
536,26,21,5,0.1923,,18,8,0.3077,,21,5,0.1923,,24,2,0.0769,
537,23,20,3,0.1304,,16,7,0.3043,,20,3,0.1304,,21,2,0.0870,
538,19,19,0,0.0000,,13,6,0.3158,,20,-1,0.0526,,21,-2,0.1053,
539,19,25,-6,0.3158,,14,5,0.2632,,25,-6,0.3158,,27,-8,0.4211,
540,18,20,-2,0.1111,,13,5,0.2778,,21,-3,0.1667,,25,-7,0.3889,
541,18,20,-2,0.1111,,14,4,0.2222,,22,-4,0.2222,,24,-6,0.3333,
542,16,18,-2,0.1250,,13,3,0.1875,,20,-4,0.2500,,22,-6,0.3750,
543,15,18,-3,0.2000,,13,2,0.1333,,19,-4,0.2667,,21,-6,0.4000,
544,17,24,-7,0.4118,,15,2,0.1176,,25,-8,0.4706,,29,-12,0.7059,
545,17,23,-6,0.3529,,15,2,0.1176,,25,-8,0.4706,,28,-11,0.6471,
546,18,25,-7,0.3889,,14,4,0.2222,,26,-8,0.4444,,26,-8,0.4444,
547,20,23,-3,0.1500,,15,5,0.2500,,25,-5,0.2500,,28,-8,0.4000,
548,17,27,-10,0.5882,,17,0,0.0000,,28,-11,0.6471,,28,-11,0.6471,
549,23,22,1,0.0435,,17,6,0.2609,,22,1,0.0435,,23,0,0.0000,
550,25,23,2,0.0800,,15,10,0.4000,,23,2,0.0800,,23,2,0.0800,
551,29,28,1,0.0345,,20,9,0.3103,,28,1,0.0345,,29,0,0.0000,
552,29,31,-2,0.0690,,18,11,0.3793,,32,-3,0.1034,,34,-5,0.1724,
553,30,26,4,0.1333,,17,13,0.4333,,26,4,0.1333,,30,0,0.0000,
554,29,22,7,0.2414,,16,13,0.4483,,23,6,0.2069,,26,3,0.1034,
555,23,21,2,0.0870,,16,7,0.3043,,22,1,0.0435,,23,0,0.0000,
556,22,26,-4,0.1818,,15,7,0.3182,,27,-5,0.2273,,27,-5,0.2273,
557,21,23,-2,0.0952,,15,6,0.2857,,24,-3,0.1429,,25,-4,0.1905,
558,21,16,5,0.2381,,14,7,0.3333,,16,5,0.2381,,19,2,0.0952,
559,21,25,-4,0.1905,,14,7,0.3333,,25,-4,0.1905,,27,-6,0.2857,
560,22,23,-1,0.0455,,17,5,0.2273,,23,-1,0.0455,,23,-1,0.0455,
561,24,23,1,0.0417,,14,10,0.4167,,23,1,0.0417,,26,-2,0.0833,
562,27,27,0,0.0000,,18,9,0.3333,,27,0,0.0000,,28,-1,0.0370,
563,26,24,2,0.0769,,18,8,0.3077,,24,2,0.0769,,26,0,0.0000,
564,26,26,0,0.0000,,19,7,0.2692,,26,0,0.0000,,28,-2,0.0769,
565,23,20,3,0.1304,,15,8,0.3478,,20,3,0.1304,,22,1,0.0435,
566,24,19,5,0.2083,,18,6,0.2500,,20,4,0.1667,,20,4,0.1667,
567,26,23,3,0.1154,,16,10,0.3846,,23,3,0.1154,,24,2,0.0769,
568,26,25,1,0.0385,,16,10,0.3846,,25,1,0.0385,,27,-1,0.0385,
569,25,20,5,0.2000,,17,8,0.3200,,20,5,0.2000,,23,2,0.0800,
570,24,16,8,0.3333,,15,9,0.3750,,16,8,0.3333,,19,5,0.2083,
571,20,22,-2,0.1000,,14,6,0.3000,,22,-2,0.1000,,24,-4,0.2000,
572,23,19,4,0.1739,,15,8,0.3478,,20,3,0.1304,,21,2,0.0870,
573,23,22,1,0.0435,,14,9,0.3913,,23,0,0.0000,,24,-1,0.0435,
574,23,25,-2,0.0870,,17,6,0.2609,,25,-2,0.0870,,27,-4,0.1739,
575,24,24,0,0.0000,,16,8,0.3333,,24,0,0.0000,,25,-1,0.0417,
576,24,21,3,0.1250,,15,9,0.3750,,21,3,0.1250,,26,-2,0.0833,
577,22,21,1,0.0455,,14,8,0.3636,,21,1,0.0455,,23,-1,0.0455,
578,22,18,4,0.1818,,16,6,0.2727,,19,3,0.1364,,22,0,0.0000,
579,26,22,4,0.1538,,15,11,0.4231,,22,4,0.1538,,24,2,0.0769,
580,22,23,-1,0.0455,,17,5,0.2273,,23,-1,0.0455,,24,-2,0.0909,
581,23,23,0,0.0000,,16,7,0.3043,,23,0,0.0000,,23,0,0.0000,
582,23,19,4,0.1739,,16,7,0.3043,,19,4,0.1739,,22,1,0.0435,
583,21,19,2,0.0952,,15,6,0.2857,,19,2,0.0952,,20,1,0.0476,
584,20,19,1,0.0500,,13,7,0.3500,,20,0,0.0000,,20,0,0.0000,
585,20,20,0,0.0000,,14,6,0.3000,,21,-1,0.0500,,22,-2,0.1000,
586,23,24,-1,0.0435,,16,7,0.3043,,26,-3,0.1304,,27,-4,0.1739,
587,27,23,4,0.1481,,16,11,0.4074,,25,2,0.0741,,27,0,0.0000,
588,24,25,-1,0.0417,,17,7,0.2917,,26,-2,0.0833,,28,-4,0.1667,
589,25,24,1,0.0400,,19,6,0.2400,,24,1,0.0400,,25,0,0.0000,
590,26,25,1,0.0385,,20,6,0.2308,,25,1,0.0385,,26,0,0.0000,
591,26,25,1,0.0385,,19,7,0.2692,,25,1,0.0385,,27,-1,0.0385,
592,25,25,0,0.0000,,18,7,0.2800,,26,-1,0.0400,,26,-1,0.0400,
593,25,21,4,0.1600,,17,8,0.3200,,21,4,0.1600,,23,2,0.0800,
594,23,21,2,0.0870,,17,6,0.2609,,21,2,0.0870,,24,-1,0.0435,
595,20,21,-1,0.0500,,14,6,0.3000,,21,-1,0.0500,,21,-1,0.0500,
596,18,17,1,0.0556,,13,5,0.2778,,18,0,0.0000,,20,-2,0.1111,
597,18,21,-3,0.1667,,12,6,0.3333,,23,-5,0.2778,,23,-5,0.2778,
598,14,22,-8,0.5714,,14,0,0.0000,,23,-9,0.6429,,23,-9,0.6429,
599,15,20,-5,0.3333,,15,0,0.0000,,21,-6,0.4000,,22,-7,0.4667,
600,19,21,-2,0.1053,,15,4,0.2105,,24,-5,0.2632,,24,-5,0.2632,
601,19,21,-2,0.1053,,14,5,0.2632,,22,-3,0.1579,,23,-4,0.2105,
602,19,24,-5,0.2632,,15,4,0.2105,,25,-6,0.3158,,27,-8,0.4211,
603,18,16,2,0.1111,,11,7,0.3889,,16,2,0.1111,,19,-1,0.0556,
604,19,21,-2,0.1053,,13,6,0.3158,,22,-3,0.1579,,23,-4,0.2105,
605,21,22,-1,0.0476,,12,9,0.4286,,22,-1,0.0476,,22,-1,0.0476,
606,24,24,0,0.0000,,14,10,0.4167,,25,-1,0.0417,,26,-2,0.0833,
607,23,21,2,0.0870,,15,8,0.3478,,21,2,0.0870,,24,-1,0.0435,
608,25,22,3,0.1200,,16,9,0.3600,,22,3,0.1200,,24,1,0.0400,
609,23,21,2,0.0870,,15,8,0.3478,,23,0,0.0000,,23,0,0.0000,
610,25,21,4,0.1600,,17,8,0.3200,,21,4,0.1600,,22,3,0.1200,
611,27,30,-3,0.1111,,18,9,0.3333,,30,-3,0.1111,,32,-5,0.1852,
612,28,22,6,0.2143,,14,14,0.5000,,23,5,0.1786,,26,2,0.0714,
613,30,24,6,0.2000,,18,12,0.4000,,25,5,0.1667,,27,3,0.1000,
